Chewie-NS ID	Original ID
wgMLST-00031908	b0437
wgMLST-00031909	b0438
wgMLST-00031910	b0439
wgMLST-00031911	b0441
wgMLST-00031912	b0443
wgMLST-00031913	b0444
wgMLST-00031915	b0446
wgMLST-00031916	b0447
wgMLST-00031917	b0448
wgMLST-00031918	b0449
wgMLST-00031919	b0451
wgMLST-00031920	b0452
wgMLST-00031921	b0453
wgMLST-00031922	b0454
wgMLST-00031923	b0456
wgMLST-00031925	b0458
wgMLST-00031927	b0461
wgMLST-00031929	b0465
wgMLST-00031930	b0466
wgMLST-00031931	b0467
wgMLST-00031932	b0468
wgMLST-00031933	b0469
wgMLST-00031934	b0470
wgMLST-00031935	b0471
wgMLST-00031936	b0472
wgMLST-00031937	b0473
wgMLST-00031938	b0474
wgMLST-00031939	b0475
wgMLST-00031940	b0476
wgMLST-00031941	b0477
wgMLST-00031942	b0478
wgMLST-00031943	b0481
wgMLST-00031944	b0482
wgMLST-00031946	b0484
wgMLST-00031947	b0485
wgMLST-00031948	b0486
wgMLST-00031949	b0487
wgMLST-00031950	b0488
wgMLST-00031951	b0489
wgMLST-00031952	b0490
wgMLST-00031953	b0491
wgMLST-00031954	b0492
wgMLST-00031955	b0493
wgMLST-00031957	b0495
wgMLST-00031958	b0496
wgMLST-00031959	b0503
wgMLST-00031968	b0521
wgMLST-00031969	b0522
wgMLST-00031970	b0523
wgMLST-00031971	b0524
wgMLST-00031972	b0526
wgMLST-00031973	b0528
wgMLST-00031974	b0529
wgMLST-00031982	b0567
wgMLST-00031985	b0570
wgMLST-00031986	b0573
wgMLST-00031987	b0577
wgMLST-00031988	b0578
wgMLST-00031991	b0581
wgMLST-00031994	b0585
wgMLST-00031995	b0586
wgMLST-00031996	b0588
wgMLST-00031997	b0589
wgMLST-00031998	b0590
wgMLST-00031999	b0591
wgMLST-00032000	b0592
wgMLST-00032002	b0594
wgMLST-00032003	b0595
wgMLST-00032004	b0596
wgMLST-00032005	b0599
wgMLST-00032006	b0600
wgMLST-00032008	b0604
wgMLST-00032009	b0605
wgMLST-00032010	b0606
wgMLST-00032011	b0607
wgMLST-00032013	b0610
wgMLST-00032014	b0611
wgMLST-00032016	b0613
wgMLST-00032017	b0614
wgMLST-00032018	b0615
wgMLST-00032019	b0616
wgMLST-00032020	b0617
wgMLST-00032021	b0618
wgMLST-00032024	b0621
wgMLST-00032025	b0622
wgMLST-00032026	b0624
wgMLST-00032027	b0627
wgMLST-00032028	b0628
wgMLST-00032030	b0630
wgMLST-00032031	b0631
wgMLST-00032032	b0633
wgMLST-00032033	b0634
wgMLST-00032034	b0635
wgMLST-00032035	b0636
wgMLST-00032036	b0637
wgMLST-00032037	b0638
wgMLST-00032038	b0639
wgMLST-00032039	b0640
wgMLST-00032040	b0641
wgMLST-00032041	b0642
wgMLST-00032042	b0643
wgMLST-00032045	b0651
wgMLST-00032046	b0653
wgMLST-00032047	b0654
wgMLST-00032048	b0655
wgMLST-00032049	b0657
wgMLST-00032050	b0658
wgMLST-00032051	b0659
wgMLST-00032052	b0660
wgMLST-00032053	b0661
wgMLST-00032054	b0662
wgMLST-00032055	b0674
wgMLST-00032057	b0676
wgMLST-00032058	b0677
wgMLST-00032059	b0678
wgMLST-00032060	b0679
wgMLST-00032061	b0680
wgMLST-00032062	b0682
wgMLST-00032063	b0683
wgMLST-00032064	b0684
wgMLST-00032065	b0686
wgMLST-00032066	b0687
wgMLST-00032067	b0688
wgMLST-00032072	b0696
wgMLST-00032075	b0699
wgMLST-00032077	b0707
wgMLST-00032078	b0708
wgMLST-00032079	b0709
wgMLST-00032080	b0710
wgMLST-00032081	b0711
wgMLST-00032083	b0713
wgMLST-00032084	b0714
wgMLST-00032085	b0715
wgMLST-00032089	b0720
wgMLST-00032090	b0721
wgMLST-00032091	b0722
wgMLST-00032092	b0724
wgMLST-00032093	b0726
wgMLST-00032094	b0727
wgMLST-00032095	b0728
wgMLST-00032098	b0734
wgMLST-00032099	b0735
wgMLST-00032100	b0736
wgMLST-00032101	b0737
wgMLST-00032102	b0738
wgMLST-00032103	b0739
wgMLST-00032104	b0740
wgMLST-00032105	b0741
wgMLST-00032106	b0742
wgMLST-00032107	b0750
wgMLST-00032108	b0751
wgMLST-00032109	b0752
wgMLST-00032110	b0753
wgMLST-00032111	b0755
wgMLST-00032112	b0756
wgMLST-00032113	b0757
wgMLST-00032114	b0758
wgMLST-00032115	b0760
wgMLST-00032116	b0761
wgMLST-00032117	b0762
wgMLST-00032118	b0763
wgMLST-00032119	b0764
wgMLST-00032120	b0765
wgMLST-00032122	b0767
wgMLST-00032125	b0772
wgMLST-00032126	b0774
wgMLST-00032127	b0775
wgMLST-00032128	b0776
wgMLST-00032129	b0777
wgMLST-00032130	b0778
wgMLST-00032131	b0779
wgMLST-00032132	b0780
wgMLST-00032133	b0781
wgMLST-00032134	b0782
wgMLST-00032135	b0783
wgMLST-00032136	b0784
wgMLST-00032137	b0785
wgMLST-00032138	b0786
wgMLST-00032139	b0789
wgMLST-00032140	b0790
wgMLST-00032141	b0791
wgMLST-00032142	b0792
wgMLST-00032143	b0793
wgMLST-00032144	b0794
wgMLST-00032145	b0795
wgMLST-00032146	b0796
wgMLST-00032147	b0797
wgMLST-00032148	b0799
wgMLST-00032149	b0800
wgMLST-00032150	b0801
wgMLST-00032151	b0802
wgMLST-00032152	b0803
wgMLST-00032153	b0804
wgMLST-00032155	b0806
wgMLST-00032156	b0807
wgMLST-00032157	b0808
wgMLST-00032158	b0809
wgMLST-00032159	b0810
wgMLST-00032160	b0811
wgMLST-00032161	b0812
wgMLST-00032162	b0813
wgMLST-00032163	b0814
wgMLST-00032164	b0815
wgMLST-00032165	b0817
wgMLST-00032166	b0818
wgMLST-00032167	b0820
wgMLST-00032169	b0822
wgMLST-00032170	b0824
wgMLST-00032171	b0826
wgMLST-00032172	b0827
wgMLST-00032173	b0829
wgMLST-00032174	b0830
wgMLST-00032175	b0831
wgMLST-00032176	b0832
wgMLST-00032179	b0835
wgMLST-00032180	b0836
wgMLST-00032181	b0837
wgMLST-00032182	b0840
wgMLST-00032183	b0841
wgMLST-00032184	b0842
wgMLST-00032185	b0843
wgMLST-00032186	b0844
wgMLST-00032188	b0846
wgMLST-00032189	b0847
wgMLST-00032190	b0848
wgMLST-00032191	b0849
wgMLST-00032192	b0850
wgMLST-00032193	b0852
wgMLST-00032194	b0853
wgMLST-00032195	b0854
wgMLST-00032196	b0855
wgMLST-00032198	b0857
wgMLST-00032199	b0858
wgMLST-00032200	b0859
wgMLST-00032201	b0861
wgMLST-00032202	b0862
wgMLST-00032203	b0863
wgMLST-00032204	b0864
wgMLST-00032205	b0865
wgMLST-00032206	b0866
wgMLST-00032207	b0867
wgMLST-00032208	b0868
wgMLST-00032210	b0870
wgMLST-00032211	b0871
wgMLST-00032212	b0872
wgMLST-00032213	b0873
wgMLST-00032214	b0874
wgMLST-00032216	b0876
wgMLST-00032217	b0877
wgMLST-00032218	b0878
wgMLST-00032219	b0879
wgMLST-00032220	b0880
wgMLST-00032221	b0881
wgMLST-00032222	b0884
wgMLST-00032223	b0885
wgMLST-00032224	b0886
wgMLST-00032225	b0887
wgMLST-00032226	b0888
wgMLST-00032227	b0889
wgMLST-00032228	b0891
wgMLST-00032229	b0892
wgMLST-00032230	b0893
wgMLST-00032231	b0896
wgMLST-00032232	b0897
wgMLST-00032233	b0898
wgMLST-00032235	b0902
wgMLST-00032237	b0905
wgMLST-00032239	b0907
wgMLST-00032240	b0908
wgMLST-00032242	b0910
wgMLST-00032243	b0911
wgMLST-00032244	b0912
wgMLST-00032246	b0914
wgMLST-00032247	b0915
wgMLST-00032249	b0917
wgMLST-00032250	b0918
wgMLST-00032251	b0919
wgMLST-00032252	b0920
wgMLST-00032253	b0921
wgMLST-00032254	b0922
wgMLST-00032255	b0923
wgMLST-00032256	b0924
wgMLST-00032257	b0925
wgMLST-00032258	b0926
wgMLST-00032259	b0927
wgMLST-00032260	b0928
wgMLST-00032261	b0930
wgMLST-00032262	b0931
wgMLST-00032263	b0932
wgMLST-00032264	b0933
wgMLST-00032266	b0936
wgMLST-00032270	b0945
wgMLST-00032271	b0946
wgMLST-00032272	b0947
wgMLST-00032273	b0948
wgMLST-00032274	b0949
wgMLST-00032275	b0950
wgMLST-00032276	b0951
wgMLST-00032277	b0952
wgMLST-00032278	b0953
wgMLST-00032279	b0955
wgMLST-00032280	b0956
wgMLST-00032281	b0957
wgMLST-00032282	b0958
wgMLST-00032284	b0960
wgMLST-00032285	b0961
wgMLST-00032286	b0962
wgMLST-00032287	b0963
wgMLST-00032288	b0964
wgMLST-00032289	b0965
wgMLST-00032290	b0966
wgMLST-00032292	b0968
wgMLST-00032293	b0969
wgMLST-00032294	b0970
wgMLST-00032295	b0972
wgMLST-00032296	b0973
wgMLST-00032298	b0975
wgMLST-00032299	b0976
wgMLST-00032300	b0977
wgMLST-00032301	b0980
wgMLST-00032308	b0994
wgMLST-00032309	b0995
wgMLST-00032310	b0996
wgMLST-00032313	b0999
wgMLST-00032314	b1000
wgMLST-00032315	b1002
wgMLST-00032316	b1003
wgMLST-00032317	b1004
wgMLST-00032318	b1007
wgMLST-00032320	b1013
wgMLST-00032329	b1034
wgMLST-00032330	b1035
wgMLST-00032331	b1036
wgMLST-00032333	b1038
wgMLST-00032337	b1045
wgMLST-00032338	b1046
wgMLST-00032339	b1047
wgMLST-00032340	b1048
wgMLST-00032341	b1049
wgMLST-00032344	b1054
wgMLST-00032345	b1055
wgMLST-00032346	b1056
wgMLST-00032347	b1057
wgMLST-00032349	b1059
wgMLST-00032350	b1060
wgMLST-00032351	b1061
wgMLST-00032352	b1062
wgMLST-00032353	b1063
wgMLST-00032354	b1064
wgMLST-00032355	b1065
wgMLST-00032356	b1066
wgMLST-00032357	b1067
wgMLST-00032358	b1068
wgMLST-00032359	b1069
wgMLST-00032360	b1070
wgMLST-00032361	b1071
wgMLST-00032362	b1072
wgMLST-00032363	b1073
wgMLST-00032365	b1075
wgMLST-00032366	b1076
wgMLST-00032369	b1079
wgMLST-00032370	b1080
wgMLST-00032371	b1081
wgMLST-00032374	b1084
wgMLST-00032376	b1086
wgMLST-00032377	b1087
wgMLST-00032378	b1088
wgMLST-00032379	b1089
wgMLST-00032380	b1090
wgMLST-00032381	b1091
wgMLST-00032382	b1092
wgMLST-00032383	b1093
wgMLST-00032384	b1094
wgMLST-00032385	b1095
wgMLST-00032386	b1096
wgMLST-00032387	b1097
wgMLST-00032388	b1098
wgMLST-00032389	b1099
wgMLST-00032390	b1100
wgMLST-00032392	b1103
wgMLST-00032393	b1104
wgMLST-00032394	b1105
wgMLST-00032395	b1106
wgMLST-00032396	b1107
wgMLST-00032397	b1108
wgMLST-00032398	b1109
wgMLST-00032399	b1110
wgMLST-00032400	b1111
wgMLST-00032401	b1112
wgMLST-00032402	b1113
wgMLST-00032403	b1114
wgMLST-00032404	b1115
wgMLST-00032405	b1116
wgMLST-00032406	b1117
wgMLST-00032407	b1118
wgMLST-00032408	b1119
wgMLST-00032409	b1120
wgMLST-00032411	b1123
wgMLST-00032412	b1124
wgMLST-00032413	b1125
wgMLST-00032414	b1126
wgMLST-00032415	b1127
wgMLST-00032416	b1128
wgMLST-00032417	b1129
wgMLST-00032418	b1130
wgMLST-00032419	b1131
wgMLST-00032420	b1132
wgMLST-00032421	b1133
wgMLST-00032422	b1134
wgMLST-00032423	b1135
wgMLST-00032424	b1136
wgMLST-00032446	b1174
wgMLST-00032447	b1175
wgMLST-00032448	b1176
wgMLST-00032451	b1179
wgMLST-00032452	b1180
wgMLST-00032454	b1183
wgMLST-00032455	b1185
wgMLST-00032456	b1186
wgMLST-00032457	b1187
wgMLST-00032459	b1189
wgMLST-00032460	b1190
wgMLST-00032461	b1191
wgMLST-00032462	b1192
wgMLST-00032463	b1193
wgMLST-00032471	b1203
wgMLST-00032472	b1204
wgMLST-00032473	b1205
wgMLST-00032474	b1206
wgMLST-00032475	b1207
wgMLST-00032476	b1208
wgMLST-00032477	b1209
wgMLST-00032478	b1210
wgMLST-00032479	b1211
wgMLST-00032480	b1212
wgMLST-00032481	b1213
wgMLST-00032483	b1215
wgMLST-00032484	b1216
wgMLST-00032486	b1219
wgMLST-00032487	b1220
wgMLST-00032492	b1226
wgMLST-00032494	b1232
wgMLST-00032495	b1233
wgMLST-00032496	b1234
wgMLST-00032497	b1235
wgMLST-00032498	b1236
wgMLST-00032499	b1237
wgMLST-00032500	b1238
wgMLST-00032501	b1241
wgMLST-00032502	b1242
wgMLST-00032503	b1243
wgMLST-00032504	b1244
wgMLST-00032505	b1245
wgMLST-00032506	b1246
wgMLST-00032507	b1247
wgMLST-00032508	b1248
wgMLST-00032509	b1249
wgMLST-00032510	b1250
wgMLST-00032511	b1252
wgMLST-00032512	b1253
wgMLST-00032513	b1254
wgMLST-00032514	b1255
wgMLST-00032515	b1256
wgMLST-00032516	b1260
wgMLST-00032517	b1261
wgMLST-00032518	b1262
wgMLST-00032519	b1263
wgMLST-00032520	b1264
wgMLST-00032522	b1266
wgMLST-00032523	b1267
wgMLST-00032524	b1269
wgMLST-00032525	b1271
wgMLST-00032526	b1272
wgMLST-00032527	b1273
wgMLST-00032528	b1274
wgMLST-00032529	b1275
wgMLST-00032531	b1277
wgMLST-00032532	b1278
wgMLST-00032533	b1279
wgMLST-00032534	b1280
wgMLST-00032535	b1281
wgMLST-00032536	b1282
wgMLST-00032537	b1283
wgMLST-00032538	b1284
wgMLST-00032540	b1286
wgMLST-00032542	b1288
wgMLST-00032543	b1290
wgMLST-00032544	b1291
wgMLST-00032545	b1292
wgMLST-00032546	b1293
wgMLST-00032547	b1294
wgMLST-00032553	b1304
wgMLST-00032554	b1305
wgMLST-00032555	b1306
wgMLST-00032556	b1307
wgMLST-00032557	b1308
wgMLST-00032562	b1321
wgMLST-00032563	b1322
wgMLST-00032564	b1323
wgMLST-00032565	b1324
wgMLST-00032566	b1325
wgMLST-00032567	b1326
wgMLST-00032569	b1329
wgMLST-00032572	b1333
wgMLST-00032573	b1334
wgMLST-00032574	b1335
wgMLST-00032578	b1342
wgMLST-00032579	b1343
wgMLST-00032580	b1344
wgMLST-00032590	b1376
wgMLST-00032591	b1378
wgMLST-00032592	b1380
wgMLST-00032594	b1382
wgMLST-00032595	b1383
wgMLST-00032607	b1412
wgMLST-00032608	b1413
wgMLST-00032610	b1418
wgMLST-00032612	b1422
wgMLST-00032613	b1423
wgMLST-00032614	b1424
wgMLST-00032615	b1426
wgMLST-00032618	b1429
wgMLST-00032619	b1430
wgMLST-00032639	b1476
wgMLST-00032640	b1477
wgMLST-00032642	b1482
wgMLST-00032645	b1491
wgMLST-00032646	b1492
wgMLST-00032654	b1521
wgMLST-00032658	b1528
wgMLST-00032659	b1529
wgMLST-00032660	b1531
wgMLST-00032661	b1532
wgMLST-00032664	b1539
wgMLST-00032665	b1540
wgMLST-00032666	b1541
wgMLST-00032675	b1590
wgMLST-00032676	b1591
wgMLST-00032678	b1593
wgMLST-00032679	b1594
wgMLST-00032680	b1595
wgMLST-00032682	b1597
wgMLST-00032683	b1598
wgMLST-00032684	b1599
wgMLST-00032685	b1600
wgMLST-00032686	b1601
wgMLST-00032687	b1602
wgMLST-00032688	b1603
wgMLST-00032689	b1604
wgMLST-00032690	b1605
wgMLST-00032691	b1606
wgMLST-00032692	b1607
wgMLST-00032693	b1608
wgMLST-00032694	b1609
wgMLST-00032695	b1610
wgMLST-00032696	b1611
wgMLST-00032697	b1613
wgMLST-00032698	b1614
wgMLST-00032699	b1618
wgMLST-00032700	b1619
wgMLST-00032701	b1620
wgMLST-00032702	b1621
